idx,rR,theta,cR
1,0.14780405405405406,46.76927759209135,        0.08445758008909718
2,0.1926564722617354,43.962606325982684,        0.08724626699708286
3,0.23750889046941678,41.3797430810123,         0.0955868948299507
4,0.28236130867709813,39.00849687011317,        0.10616938471499461
5,0.3272137268847795,36.83667670621826,0.11718319645827056
6,0.3720661450924609,34.852091602260536,0.12773963040716868
7,0.41691856330014226,33.04255057117296,0.13872625410833664
8,0.4617709815078236,31.395862625888483,0.1491400560739781
9,0.506623399715505,29.899836779340113,0.15721465261231002
10,0.5514758179231863,28.54228204446077,0.16209489720702952
11,0.5963282361308677,27.311007434183445,0.1640732415583337
12,0.6411806543385491,26.193821961441103,0.16359125003703592
13,0.6860330725462305,25.178534639166713,0.16133489238886725
14,0.7308854907539118,24.252954480293226,0.15776600904955865
15,0.7757379089615932,23.4048904977536,0.15283069580388442
16,0.8205903271692745,22.622151704480814,0.1466462058230047
17,0.8654427453769559,21.892547113407858,0.13878880493298834
18,0.9102951635846372,21.203885737467658,0.12920769647228308
19,0.9551475817923186,20.5439765895932,0.1156846096975712
20,1.0,19.90062868271744,0.02031402715921607
